Sex;Age group;Provinces;Period;Total;;
Both sexes;0 years old;National Total;1 January 2020;359045;;
Both sexes;1 year old;National Total;1 January 2020;378335;;
Both sexes;2 years old;National Total;1 January 2020;405012;;
Both sexes;3 years old;National Total;1 January 2020;428337;;
Both sexes;4 years old;National Total;1 January 2020;439918;;
Both sexes;5 years old;National Total;1 January 2020;447273;;
Both sexes;6 years old;National Total;1 January 2020;442774;;
Both sexes;7 years old;National Total;1 January 2020;466762;;
Both sexes;8 years old;National Total;1 January 2020;484224;;
Both sexes;9 years old;National Total;1 January 2020;488956;;
Both sexes;10 years old;National Total;1 January 2020;499311;;
Both sexes;11 years old;National Total;1 January 2020;525502;;
Both sexes;12 years old;National Total;1 January 2020;507959;;
Both sexes;13 years old;National Total;1 January 2020;505617;;
Both sexes;14 years old;National Total;1 January 2020;496389;;
Both sexes;15 years old;National Total;1 January 2020;492639;;
Both sexes;16 years old;National Total;1 January 2020;485658;;
Both sexes;17 years old;National Total;1 January 2020;470216;;
Both sexes;18 years old;National Total;1 January 2020;473030;;
Both sexes;19 years old;National Total;1 January 2020;478249;9275206;0.195968943911849
Both sexes;20 years old;National Total;1 January 2020;472570;;
Both sexes;21 years old;National Total;1 January 2020;463635;;
Both sexes;22 years old;National Total;1 January 2020;471054;;
Both sexes;23 years old;National Total;1 January 2020;470883;;
Both sexes;24 years old;National Total;1 January 2020;473877;;
Both sexes;25 years old;National Total;1 January 2020;482596;;
Both sexes;26 years old;National Total;1 January 2020;501939;;
Both sexes;27 years old;National Total;1 January 2020;518462;;
Both sexes;28 years old;National Total;1 January 2020;516833;;
Both sexes;29 years old;National Total;1 January 2020;525139;;
Both sexes;30 years old;National Total;1 January 2020;533887;;
Both sexes;31 years old;National Total;1 January 2020;543599;;
Both sexes;32 years old;National Total;1 January 2020;551050;;
Both sexes;33 years old;National Total;1 January 2020;564772;;
Both sexes;34 years old;National Total;1 January 2020;584601;;
Both sexes;35 years old;National Total;1 January 2020;607556;;
Both sexes;36 years old;National Total;1 January 2020;627730;;
Both sexes;37 years old;National Total;1 January 2020;664589;;
Both sexes;38 years old;National Total;1 January 2020;695083;;
Both sexes;39 years old;National Total;1 January 2020;729632;;
Both sexes;40 years old;National Total;1 January 2020;752076;;
Both sexes;41 years old;National Total;1 January 2020;786515;;
Both sexes;42 years old;National Total;1 January 2020;797480;;
Both sexes;43 years old;National Total;1 January 2020;812241;;
Both sexes;44 years old;National Total;1 January 2020;806290;;
Both sexes;45 years old;National Total;1 January 2020;800563;;
Both sexes;46 years old;National Total;1 January 2020;781218;;
Both sexes;47 years old;National Total;1 January 2020;777361;;
Both sexes;48 years old;National Total;1 January 2020;765242;;
Both sexes;49 years old;National Total;1 January 2020;753952;18832425;0.397896331202682
Both sexes;50 years old;National Total;1 January 2020;746063;;
Both sexes;51 years old;National Total;1 January 2020;738746;;
Both sexes;52 years old;National Total;1 January 2020;742333;;
Both sexes;53 years old;National Total;1 January 2020;723131;;
Both sexes;54 years old;National Total;1 January 2020;716367;;
Both sexes;55 years old;National Total;1 January 2020;723639;;
Both sexes;56 years old;National Total;1 January 2020;687882;;
Both sexes;57 years old;National Total;1 January 2020;663145;;
Both sexes;58 years old;National Total;1 January 2020;646259;;
Both sexes;59 years old;National Total;1 January 2020;647338;;
Both sexes;60 years old;National Total;1 January 2020;627379;;
Both sexes;61 years old;National Total;1 January 2020;610702;;
Both sexes;62 years old;National Total;1 January 2020;594045;;
Both sexes;63 years old;National Total;1 January 2020;552630;;
Both sexes;64 years old;National Total;1 January 2020;534143;;
Both sexes;65 years old;National Total;1 January 2020;507346;;
Both sexes;66 years old;National Total;1 January 2020;505280;;
Both sexes;67 years old;National Total;1 January 2020;500651;;
Both sexes;68 years old;National Total;1 January 2020;465788;;
Both sexes;69 years old;National Total;1 January 2020;452767;12385634;0.261686868696899
Both sexes;70 years old;National Total;1 January 2020;466184;;
Both sexes;71 years old;National Total;1 January 2020;482936;;
Both sexes;72 years old;National Total;1 January 2020;437006;;
Both sexes;73 years old;National Total;1 January 2020;412679;;
Both sexes;74 years old;National Total;1 January 2020;425663;;
Both sexes;75 years old;National Total;1 January 2020;398969;;
Both sexes;76 years old;National Total;1 January 2020;385979;;
Both sexes;77 years old;National Total;1 January 2020;327435;;
Both sexes;78 years old;National Total;1 January 2020;295046;;
Both sexes;79 years old;National Total;1 January 2020;352949;;
Both sexes;80 years old;National Total;1 January 2020;227884;;
Both sexes;81 years old;National Total;1 January 2020;249187;;
Both sexes;82 years old;National Total;1 January 2020;268516;;
Both sexes;83 years old;National Total;1 January 2020;280985;;
Both sexes;84 years old;National Total;1 January 2020;257340;;
Both sexes;85 years old and over;National Total;1 January 2020;1567956;;
;70 and above;;;;6836714;0.144447856188569
;Total;;;47329979;;
