,day,edges,num_infected,num_new_infections,num_new_removed
0,0,49975,10,10,0
1,1,49975,10,0,0
2,2,49975,10,0,0
3,3,49970,14,5,1
4,4,49959,24,11,1
5,5,49947,35,12,1
6,6,49930,50,17,2
7,7,49871,105,58,3
8,8,49635,327,227,5
9,9,49262,665,351,13
10,10,48767,1062,425,28
11,11,48032,1595,583,50
12,12,46924,2312,799,82
13,13,45420,3155,973,130
14,14,43536,3991,1025,189
15,15,40919,4910,1178,259
16,16,37442,5741,1178,347
17,17,32943,6471,1171,441
18,18,28835,6646,705,530
19,19,24273,6560,539,624
20,20,19752,6207,341,692
21,21,15227,5692,237,748
22,22,11613,4986,82,771
23,23,8377,4226,39,779
24,24,5310,3451,27,765
25,25,3210,2688,6,685
26,26,1742,1949,1,596
27,27,733,1276,0,485
28,28,240,682,0,291
29,29,35,240,0,151
30,30,1,22,0,29
31,31,0,0,0,1
32,32,0,0,0,0
33,33,0,0,0,0
34,34,0,0,0,0
35,35,0,0,0,0
36,36,0,0,0,0
37,37,0,0,0,0
38,38,0,0,0,0
39,39,0,0,0,0
40,40,0,0,0,0
41,41,0,0,0,0
42,42,0,0,0,0
43,43,0,0,0,0
44,44,0,0,0,0
45,45,0,0,0,0
46,46,0,0,0,0
47,47,0,0,0,0
48,48,0,0,0,0
49,49,0,0,0,0
50,50,0,0,0,0
51,51,0,0,0,0
52,52,0,0,0,0
53,53,0,0,0,0
54,54,0,0,0,0
55,55,0,0,0,0
56,56,0,0,0,0
57,57,0,0,0,0
58,58,0,0,0,0
59,59,0,0,0,0
60,60,0,0,0,0
61,61,0,0,0,0
62,62,0,0,0,0
63,63,0,0,0,0
64,64,0,0,0,0
65,65,0,0,0,0
66,66,0,0,0,0
67,67,0,0,0,0
68,68,0,0,0,0
69,69,0,0,0,0
70,70,0,0,0,0
71,71,0,0,0,0
72,72,0,0,0,0
73,73,0,0,0,0
74,74,0,0,0,0
75,75,0,0,0,0
76,76,0,0,0,0
77,77,0,0,0,0
78,78,0,0,0,0
79,79,0,0,0,0
80,80,0,0,0,0
81,81,0,0,0,0
82,82,0,0,0,0
83,83,0,0,0,0
84,84,0,0,0,0
85,85,0,0,0,0
86,86,0,0,0,0
87,87,0,0,0,0
88,88,0,0,0,0
89,89,0,0,0,0
90,90,0,0,0,0
91,91,0,0,0,0
92,92,0,0,0,0
93,93,0,0,0,0
94,94,0,0,0,0
95,95,0,0,0,0
96,96,0,0,0,0
97,97,0,0,0,0
98,98,0,0,0,0
99,99,0,0,0,0
